"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.776,0.155,160.053,0.127,0.0609,0.616,208187,-6.519
0.617,0.119,147.986,0.0561,0.401,0.671,222573,-8.72
0.429,0.0574,85.899,0.0519,0.0133,0.726,188174,-6.623
0.488,0.0767,106.008,0.0537,0.221,0.87,204502,-5.586
0.599,0.126,110.977,0.0465,0.00419,0.742,212027,-6.256
0.444,0.137,149.953,0.344,0.022,0.91,276333,-8.126
0.381,0.109,73.483,0.0302,0.48,0.565,230269,-7.204
0.887,0.352,158.05,0.0857,0.0297,0.563,188933,-5.013
0.794,0.112,139.994,0.0522,0.0323,0.731,220454,-5.126
0.444,0.0954,139.775,0.0417,0.44,0.637,180053,-6.355
0.597,0.124,145.992,0.0627,0.00252,0.842,215307,-6.336
0.649,0.174,102.996,0.0362,0.0306,0.607,247627,-6.695
0.75,0.109,155.096,0.231,0.00264,0.732,182707,-6.366
0.799,0.172,125.976,0.0275,0.00898,0.612,188253,-4.603
0.607,0.0864,129.938,0.132,0.133,0.728,176702,-8.417
0.469,0.103,98.963,0.0326,0.463,0.731,165387,-7.226
0.681,0.126,97.621,0.0778,0.0287,0.613,204664,-3.089
0.449,0.0898,80.126,0.425,0.33,0.736,219080,-11.462
0.824,0.0861,116.005,0.0458,0.0617,0.594,205200,-4.252
0.848,0.366,120.996,0.0368,0.00916,0.612,212893,-3.736
0.598,0.112,140.987,0.0539,0.0714,0.763,190678,-6.865
0.594,0.162,135.002,0.0747,0.111,0.795,275080,-6.2
0.859,0.0881,91.977,0.0795,0.0256,0.744,232787,-3.166
0.516,0.111,145.995,0.118,0.0263,0.841,210200,-7.461
0.557,0.0902,85.043,0.059,0.695,0.358,211467,-7.398
0.619,0.105,112.961,0.162,0.0572,0.739,222787,-6.669
0.743,0.359,72.997,0.0287,0.0251,0.554,205733,-6.016
0.751,0.208,89.953,0.0299,0.122,0.549,234306,-5.423
0.745,0.0943,101.018,0.0571,0.0642,0.893,223413,-3.105
0.541,0.167,110.803,0.055,0.0224,0.681,227360,-8.926
0.359,0.137,160.083,0.0794,0.199,0.743,326933,-10.401
0.782,0.107,171.988,0.0721,0.295,0.65,176893,-4.295
0.824,0.333,123.011,0.0331,0.00155,0.723,216800,-5.911
0.627,0.116,101.384,0.111,0.238,0.457,210091,-5.091
0.667,0.134,80.984,0.0367,0.0533,0.599,288877,-4.267
0.789,0.351,93.973,0.146,0.231,0.755,229849,-4.502
0.434,0.165,150.062,0.431,0.0102,0.833,204600,-8.795
0.761,0.312,102.019,0.0277,0.0538,0.628,220800,-6.377
0.586,0.46,163.029,0.29,0.012,0.791,181812,-7.372
0.574,0.083,174.152,0.0454,0.196,0.578,261240,-6.209
0.719,0.108,94.969,0.033,0.0353,0.652,197640,-7.251
0.495,0.164,160.091,0.22,0.156,0.71,218880,-7.369
0.588,0.0847,102.974,0.0775,0.0485,0.76,204400,-7.082
0.532,0.0831,99.983,0.0746,0.0905,0.648,220781,-6.597
0.514,0.094,139.931,0.365,0.0047,0.637,185947,-6.763
0.834,0.14,135.007,0.0989,0.0232,0.461,261154,-4.868
0.81,0.117,129.014,0.0568,0.501,0.839,209269,-5.274
0.588,0.125,110.075,0.0367,0.105,0.658,214802,-4.902
0.646,0.0778,155.955,0.112,0.128,0.758,197171,-4.701
0.911,0.081,152.043,0.0439,0.0338,0.653,181000,-4.635
0.896,0.145,114.995,0.0388,0.00434,0.555,177067,-3.295
0.58,0.109,97.092,0.378,0.153,0.741,220964,-7.741
0.542,0.104,148.003,0.0304,0.357,0.599,224853,-7.274
0.674,0.104,141.967,0.264,0.307,0.92,304041,-5.662
0.841,0.34,104.978,0.0371,0.000899,0.607,223627,-3.772
0.711,0.125,98.008,0.42,0.171,0.587,254694,-6.33
0.782,0.0757,140.004,0.0506,0.0577,0.565,231906,-6.413
0.691,0.14,179.91,0.0432,0.243,0.683,219507,-5.535
0.412,0.077,121.019,0.0731,0.177,0.95,214648,-6.592
0.42,0.061,113.975,0.0811,0.427,0.725,176320,-6.811
0.886,0.266,144.946,0.04,0.0837,0.804,238587,-2.512
0.459,0.11,111.963,0.039,0.304,0.804,298941,-11.556
0.817,0.187,98.064,0.109,0.075,0.696,216409,-3.862
0.802,0.377,168.032,0.054,0.333,0.439,183413,-3.644
0.671,0.0604,149.982,0.0706,0.0484,0.59,169801,-6.098
0.524,0.111,95.01,0.0338,0.414,0.748,244960,-5.599
0.853,0.108,105.256,0.0498,0.0103,0.542,216933,-6.407
0.863,0.639,110.018,0.0381,0.0046,0.496,185587,-4.153
0.845,0.197,132.023,0.0525,0.0304,0.681,184040,-5.147
